label,prob
1,0.66804874
1,0.6870899
1,0.7140991
1,0.9631104
1,0.8813445
1,0.671381
1,0.83349943
1,0.6737448
1,0.43527788
1,0.5443491
1,0.74003714
1,0.64436066
1,0.59352684
1,0.865157
1,0.87283456
1,0.29814672
1,0.78187156
1,0.3087787
1,0.702825
1,0.83217514
1,0.9507644
1,0.8346283
1,0.97534025
1,0.9257499
1,0.49603048
1,0.613723
1,0.72812736
1,0.7514215
1,0.9221846
1,0.8202513
1,0.54299426
1,0.813378
1,0.80569243
1,0.7563638
1,0.8878012
1,0.68410873
1,0.45159298
1,0.7600188
1,0.7070786
1,0.85238206
1,0.69713813
1,0.43476355
1,0.41323608
1,0.9138527
1,0.66159654
1,0.75031817
1,0.55477417
1,0.8620496
1,0.90041995
1,0.81664395
1,0.87953794
1,0.73025334
1,0.6356094
1,0.8534205
1,0.5549835
1,0.91676986
1,0.8409579
1,0.7063118
1,0.7118648
1,0.94373584
1,0.789629
1,0.92573106
1,0.6461003
1,0.80995286
1,0.29680103
1,0.96219915
1,0.8708944
1,0.90787673
1,0.870362
1,0.73839104
1,0.93307793
1,0.43546832
1,0.91494095
1,0.77810675
1,0.62172
1,0.51172066
1,0.8832948
1,0.83913445
1,0.72786164
1,0.88260937
1,0.6883639
1,0.587491
1,0.81681776
1,0.849687
1,0.5489972
1,0.8240924
1,0.82526267
1,0.6762228
1,0.93576235
1,0.5450052
1,0.8990239
1,0.85936534
1,0.8066231
1,0.24234065
1,0.35466993
1,0.6192701
1,0.94417405
1,0.6401207
1,0.79056513
1,0.74106336
1,0.90384316
1,0.63494164
1,0.721483
1,0.8437873
1,0.8497287
1,0.79637367
1,0.6304875
1,0.31757063
1,0.48719996
1,0.3223547
1,0.7384652
1,0.9409206
1,0.8196913
1,0.7553687
1,0.8668756
1,0.88923407
1,0.9019914
1,0.37570804
1,0.71436673
1,0.85455245
1,0.7596786
1,0.91173625
1,0.7198931
1,0.718333
1,0.7754706
1,0.96017087
1,0.863245
1,0.607038
1,0.7053695
1,0.8744314
1,0.9391809
1,0.8868263
1,0.84092265
1,0.9255782
0,0.4948638
0,0.40513894
0,0.9048836
0,0.31152874
0,0.7554823
0,0.64702636
0,0.73745966
0,0.33738974
0,0.8920772
0,0.76709753
0,0.8378281
0,0.75411564
0,0.6672994
0,0.49747378
0,0.83492166
0,0.35080743
0,0.5553423
0,0.80488646
0,0.61443454
0,0.9544075
0,0.9062476
0,0.6635643
0,0.7121927
0,0.46601617
0,0.89806855
0,0.47299063
0,0.55315405
0,0.6645018
0,0.6776543
0,0.70621324
0,0.80306554
0,0.7883338
0,0.89481616
0,0.59242356
0,0.6926335
0,0.8671218
0,0.44529873
0,0.3509333
0,0.38036507
0,0.78426206
0,0.53260857
0,0.40549132
0,0.7874409
0,0.4410849
0,0.21493283
0,0.49640492
0,0.55345774
0,0.37728024
0,0.6188929
0,0.41001356
0,0.45715022
0,0.46530727
0,0.26225358
0,0.3430824
0,0.6174067
0,0.42253524
0,0.7700589
0,0.6579743
0,0.47445098
0,0.54139185
0,0.8728546
0,0.40206918
0,0.83385885
0,0.7494762
0,0.7155475
0,0.85864425
0,0.5309727
0,0.9018055
0,0.56806123
0,0.6452426
0,0.47101587
0,0.66702116
0,0.8558501
0,0.77309304
0,0.86149836
0,0.56694627
0,0.5440194
0,0.450378
0,0.8945304
0,0.8168113
0,0.7770126
0,0.6607944
0,0.6070515
0,0.583967
0,0.70180374
0,0.80741715
0,0.6493037
0,0.6196041
0,0.69637644
0,0.766108
0,0.48657545
0,0.5745073
0,0.23258142
0,0.47671488
0,0.45253563
0,0.49060512
0,0.57936704
0,0.14055751
0,0.30528292
0,0.84134424
0,0.38461885
0,0.63128364
0,0.48989838
0,0.579673
0,0.54460317
0,0.531256
0,0.32078972
0,0.66810334
0,0.7322934
0,0.80385184
0,0.64636683
0,0.5614597
0,0.52753055
0,0.8847197
0,0.902985
0,0.9088589
0,0.64166915
0,0.8886259
0,0.88841856
0,0.3962182
0,0.6573638
0,0.8187737
0,0.6427314
0,0.89893365
